entry,name,area,mean,min,max,intden,rawintden,norm_density,genotype,clone
31,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0041-0264-1081:42,1.281e-6,751.445,405,1210,9.625e-4,8201269,0.28537183300910135,syp KO,NA
32,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0053-0281-0835:54,1.638e-6,709.284,398,1089,0.001,9896637,0.25778698579610115,syp KO,NA
33,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0023-0130-1094:24,1.375e-6,894.034,480,1401,0.001,10472711,0.3783283791346109,syp KO,NA
34,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0026-0376-1251:27,9.644e-7,1119.282,628,1834,0.001,9197142,0.525320000695817,syp KO,NA
35,20230722_sypN_DAPI_Phal__Puro_60x_006.tiff:0029-0331-1418:30,1.029e-6,989.821,628,1558,0.001,8679741,0.44099505198129,syp KO,NA
1,20230722_WT-CHX_DAPI_Phal__Puro_60x_001.tiff:0013-1793-1168:15,1.002e-6,728.063,430,1445,7.295e-4,6215470,0.2701243348241381,CHX,NA
2,20230722_WT-CHX_DAPI_Phal__Puro_60x_001.tiff:0016-1896-1422:18,7.016e-7,585.125,375,922,4.105e-4,3497880,0.17692200687146198,CHX,NA
3,20230722_WT-CHX_DAPI_Phal__Puro_60x_001.tiff:0019-1605-1438:21,7.898e-7,679.68,392,1303,5.368e-4,4574245,0.23862936380826558,CHX,NA
4,20230722_WT-CHX_DAPI_Phal__Puro_60x_001.tiff:0022-1614-1592:24,6.726e-7,627.009,361,1155,4.217e-4,3593390,0.20424840153061913,CHX,NA
5,20230722_WT-CHX_DAPI_Phal__Puro_60x_001.tiff:0016-1712-1116:18,7.654e-7,772.071,465,1438,5.91e-4,5035450,0.2988917006131915,CHX,NA
6,20230722_WT-CHX_DAPI_Phal__Puro_60x_001.tiff:0013-1647-1154:15,9.634e-7,752.397,462,1537,7.249e-4,6176430,0.28604823222314246,CHX,NA
